stage,individual,location,observer,repmeas,thickness
four,175,E,S,2,236.000
four,175,E,S,3,233.000
four,175,P,P,1,221.000
four,175,P,P,2,228.000
four,175,P,P,3,226.000
four,175,P,S,1,221.000
four,175,P,S,2,216.000
four,175,P,S,3,236.000
four,191,B,P,1,190.000
four,191,B,P,2,194.000
four,191,B,P,3,187.000
four,191,B,S,1,192.000
four,191,B,S,2,186.000
four,191,B,S,3,187.000
four,191,E,P,1,210.000
four,191,E,P,2,214.000
four,191,E,P,3,209.000
four,191,E,S,1,206.000
four,191,E,S,2,210.000
four,191,E,S,3,213.000
four,191,P,P,1,219.000
four,191,P,P,2,214.000
four,191,P,P,3,205.000
four,191,P,S,1,214.000
four,191,P,S,2,210.000
four,191,P,S,3,215.000
four,227,B,P,1,199.000
four,227,B,P,2,192.000
four,227,B,P,3,199.000
four,227,B,S,1,199.000
four,227,B,S,2,192.000
four,227,B,S,3,200.000
four,227,E,P,1,225.000
four,227,E,P,2,230.000
four,227,E,P,3,227.000
four,227,E,S,1,226.000
four,227,E,S,2,230.000
four,227,E,S,3,236.000
four,227,P,P,1,247.000
four,227,P,P,2,243.000
four,227,P,P,3,246.000
four,227,P,S,1,241.000
four,227,P,S,2,247.000
four,227,P,S,3,238.000
four,246,B,P,1,181.000
four,246,B,P,2,189.000
four,246,B,P,3,183.000
four,246,B,S,1,189.000
four,246,B,S,2,197.000
four,246,B,S,3,185.000
four,246,E,P,1,206.000
four,246,E,P,2,203.000
four,246,E,P,3,207.000
four,246,E,S,1,217.000
four,246,E,S,2,207.000
four,246,E,S,3,210.000
four,246,P,P,1,205.000
four,246,P,P,2,194.000
four,246,P,P,3,200.000
four,246,P,S,1,199.000
four,246,P,S,2,202.000
four,246,P,S,3,203.000
four,277,B,P,1,195.000
four,277,B,P,2,197.000
four,277,B,P,3,194.000
four,277,B,S,1,190.000
four,277,B,S,2,197.000
four,277,B,S,3,194.000
four,277,E,P,1,224.000
four,277,E,P,2,221.000
four,277,E,P,3,210.000
four,277,E,S,1,217.000
four,277,E,S,2,221.000
four,277,E,S,3,215.000
four,277,P,P,1,170.000
four,277,P,P,2,169.000
four,277,P,P,3,165.000
four,277,P,S,1,163.000
four,277,P,S,2,168.000
four,277,P,S,3,170.000
four,287,B,P,1,173.000
four,287,B,P,2,176.000
four,287,B,P,3,170.000
four,287,B,S,1,170.000
four,287,B,S,2,174.000
four,287,B,S,3,169.000
four,287,E,P,1,216.000
four,287,E,P,2,210.000
four,287,E,P,3,214.000
four,287,E,S,1,206.000
four,287,E,S,2,208.000
four,287,E,S,3,214.000
four,287,P,P,1,206.000
four,287,P,P,2,212.000
four,287,P,P,3,211.000
four,287,P,S,1,209.000
four,287,P,S,2,213.000
four,287,P,S,3,216.000
four,290,B,P,1,182.000
four,290,B,P,2,183.000
four,290,B,P,3,188.000
four,290,B,S,1,184.000
four,290,B,S,2,181.000
four,290,B,S,3,176.000
four,290,E,P,1,216.000
four,290,E,P,2,221.000
four,290,E,P,3,226.000
four,290,E,S,1,223.000
four,290,E,S,2,230.000
four,290,E,S,3,221.000
four,290,P,P,1,215.000
four,290,P,P,2,207.000
four,290,P,P,3,212.000
four,290,P,S,1,216.000
four,290,P,S,2,209.000
four,290,P,S,3,210.000
